"word","translation_hy","translation_ru","level","part_of_speech","frequency_rank"
"the","դետերմինանտ, այդ","этот, тот","A1","det","1"
"of","-ի, -ից","из, от","A1","prep","2"
"and","և, ու","и","A1","conj","3"
"to","դեպի, -ել","к, в","A1","prep","4"
"in","-ում, մեջ","в","A1","prep","5"
"a","մի, անորոշ հոդ","неопределённый артикль","A1","det","6"
"is","է","есть","A1","verb","7"
"that","որ, այն","что, тот","A1","pron","8"
"for","համար","для","A1","prep","9"
"as","որպես, ինչպես","как","A1","conj","10"
"it","այն, դա","это, оно","A1","pron","11"
"was","էր","был","A1","verb","12"
"with","հետ, -ով","с","A1","prep","13"
"on","վրա, -ին","на","A1","prep","14"
"be","լինել","быть","A1","verb","15"
"not","ոչ, չ-","не","A1","adv","16"
"by","կողմից, մոտ","у, к, посредством","A1","prep","17"
"i","ես","я","A1","pron","18"
"this","սա, այս","этот","A1","det","19"
"are","են","являются","A1","verb","20"
"he","նա (տղամարդ)","он","A1","pron","21"
"or","կամ","или","A1","conj","22"
"from","-ից","из, от","A1","prep","23"
"at","-ում, մոտ","у, в, на","A1","prep","24"
"his","նրա","его","A1","det","25"
"an","մի","неопределённый артикль","A1","det","26"
"have","ունենալ","иметь","A1","verb","27"
"which","որը","который","A1","pron","28"
"but","բայց","но","A1","conj","29"
"you","դու, դուք","ты, вы","A1","pron","30"
"had","had","должен","A1","noun","31"
"they","նրանք","они","A1","pron","32"
"were","were","довестись","A1","noun","33"
"one","մեկ","один","A1","num","34"
"their","նրանց, իրենց","свой","A1","prn","35"
"we","մենք","мы","A1","pron","36"
"all","բոլոր, ամբողջ","все, весь","A1","det","37"
"can","կարողանալ","мочь","A1","verb","38"
"her","նրա, նրան","её, ей","A1","pron","39"
"has","ունի","имеет","A1","verb","40"
"there","այնտեղ, կա","там, есть","A1","adv","41"
"if","եթե","если","A1","conj","42"
"more","ավելի","больше","A1","adv","43"
"been","been","довестись","A1","noun","44"
"when","երբ","когда","A1","adv","45"
"she","նա (կին)","она","A1","pron","46"
"would","կ-","бы","A1","verb","47"
"will","կամք, կամքիուժ","воля","A1","noun","48"
"other","այլ","другой","A1","adj","49"
"who","ով","кто","A1","pron","50"
"no","ոչ, ոչ մի","нет, никакой","A1","det","51"
"so","այսպես, այնպես որ","так, поэтому","A1","adv","52"
"these","այս","эти","A1","det","53"
"its","իր, նրա, նրանը","свой","A1","pronoun","54"
"what","ինչ","что","A1","pron","55"
"may","կարող է","может","A1","verb","56"
"do","անել","делать","A1","verb","57"
"time","ժամանակ, անգամ","время, раз","A1","noun","58"
"some","որոշ","некоторые","A1","det","59"
"than","քան","чем","A1","conj","60"
"new","նոր","новый","A1","adj","61"
"about","մասին","о","A1","prep","62"
"also","նաև","также","A1","adv","63"
"only","միայն","только","A1","adv","64"
"into","մեջ, ներս","в","A1","prep","65"
"them","նրանց","их","A1","pron","66"
"out","դուրս","из, вне","A1","adv","67"
"such","այդպիսի","такой","A1","det","68"
"my","իմ","мой","A1","det","69"
"two","երկու","два","A1","num","70"
"him","նրա, նրան (ար","him","A1","prn","71"
"up","վերև","вверх","A1","adv","72"
"first","առաջին","первый","A1","adj","73"
"see","տեսնել","видеть","A1","verb","74"
"could","կարող էր","мог","A1","verb","75"
"any","ցանկացած","любой","A1","det","76"
"then","ապա, հետո","затем","A1","adv","77"
"most","ամենաշատ","самый, большинство","A1","adj","78"
"your","քո, ձեր","твой, ваш","A1","det","79"
"between","միջև","между","A1","prep","80"
"me","ինձ","мне, меня","A1","pron","81"
"our","մեր","наш","A1","det","82"
"after","հետո, հետո","после","A1","prep","83"
"should","պետք է","следует","A1","verb","84"
"like","նման, հավանել","как, нравиться","A1","prep","85"
"over","վրայով, ավելի","над, свыше","A1","prep","86"
"many","շատ","много","A1","det","87"
"did","արեց","делал","A1","verb","88"
"said","ասաց","сказал","A1","verb","89"
"people","մարդիկ","люди","A1","noun","90"
"even","նույնիսկ","даже","A1","adv","91"
"because","քանի որ","потому что","A1","conj","92"
"how","ինչպես","как","A1","adv","93"
"well","լավ","хорошо","A1","adv","94"
"where","որտեղ","где","A1","adv","95"
"through","միջով","через","A1","prep","96"
"made","պատրաստված, արեց","сделал","A1","verb","97"
"very","շատ","очень","A1","adv","98"
"those","այն","те","A1","det","99"
"work","աշխատանք, աշխատել","работа, работать","A1","noun","100"
"now","հիմա","сейчас","A1","adv","101"
"each","each","каждый","A1","noun","102"
"s","անգլերենայբուբենի 19֊րդտառը","s","A1","noun","103"
"must","պարտադիրբան, պարտավորություն","должен","A1","noun","104"
"use","օգտագործում, կիրառում","прок","A1","noun","105"
"life","կյանք","жизнь","A1","noun","106"
"way","ճանապարհ, ձև","путь, способ","A1","noun","107"
"used","սովոր, ընտելացած","надёванный","A1","adjective","108"
"both","both","оба","A1","noun","109"
"same","նույն, միևնույն, միատեսակ","same","A1","adjective","110"
"state","դրություն, վիճակ","зафиксировать","A1","noun","111"
"being","լինելը, էակ","бытие","A1","noun","112"
"before","առաջ, նախքան","до, перед","A1","prep","113"
"years","տարի","лета","A1","noun","114"
"much","շատ","много","A1","adv","115"
"however","however","однако","A1","noun","116"
"under","ներքևում, ցածում, ստորև","до","A1","adverb","117"
"world","աշխարհ","мир","A1","noun","118"
"man","տղամարդ, մարդ","мужчина, человек","A1","noun","119"
"make","պատրաստել, անել","делать","A1","verb","120"
"own","սեփական","собственный","A1","adj","121"
"just","հենց, պարզապես","просто, только что","A1","adv","122"
"system","համակարգ, սիստեմ","система","A1","noun","123"
"part","մաս","голос","A1","noun","124"
"three","three","трое","A1","noun","125"
"p.","p.","p.","A1","noun","126"
"while","ժամանակ, ժամանակամիջոց","а","A1","noun","127"
"good","լավ","хороший","A1","adj","128"
"during","ընթացքում, ժամանակ","за","A1","preposition","129"
"us","մեզ","США","A1","prn","130"
"long","երկար","длинный, долгий","A1","adj","131"
"does","անել, կատարել","до","A1","noun","132"
"number","թիվ, քանակ, համար","номерной","A1","noun","133"
"another","ուրիշ, ուրիշը","другой","A1","adjective","134"
"back","հետ, մեջք","назад, спина","A1","adv","135"
"social","հասարակական, սոցիալական","социальный","A1","adjective","136"
"day","օր","день","A1","noun","137"
"de","de","de","A1","noun","138"
"great","խոշոր","большой","A1","adjective","139"
"down","աղվամազ, աղվափետուր","вниз","A1","noun","140"
"here","այստեղ","здесь","A1","adv","141"
"without","առանց","не","A1","preposition","142"
"know","իմանալ","знать","A1","verb","143"
"different","տարբեր, ոչնման, այլ","другой","A1","adjective","144"
"case","արկղ, տուփ","дело","A1","noun","145"
"general","գեներալ, զորավար","генерал","A1","noun","146"
"right","իրավունք","ну","A1","noun","147"
"high","բարձր, զգալի","высоко","A1","adjective","148"
"found","հիմնադրել, ստեղծել","создать","A1","verb","149"
"still","դեռ","всё ещё","A1","adv","150"
"government","կառավարություն, կառավարում","правительство","A1","noun","151"
"since","since","с","A1","noun","152"
"states","դրություն, վիճակ","зафиксировать","A1","noun","153"
"little","քիչբան","мало","A1","noun","154"
"might","հզորություն, զորություն ’ ամբողջուժով","мощь","A1","noun","155"
"against","դեմ, հակառակ","о","A1","preposition","156"
"too","նույնպես, չափազանց","тоже, слишком","A1","adv","157"
"take","վերցնել","брать","A1","verb","158"
"year","տարի","год","A1","noun","159"
"within","within","в","A1","noun","160"
"men","մարդ","рядовой","A1","noun","161"
"example","օրինակ, նմուշ","пример","A1","noun","162"
"children","երեխաներ","ребята","A1","noun","163"
"place","տեղ, վայր","место","A1","noun","164"
"american","american","американец","A1","noun","165"
"women","կանայք","женщина","A1","noun","166"
