"phrase","translation_hy","translation_ru","category","level","example_en"
"break the ice","սառույցը կոտրել, զրույց սկսել","растопить лёд","idiom","A2","He told a joke to break the ice."
"piece of cake","շատ հեշտ բան","плёвое дело","idiom","A2","The test was a piece of cake."
"once in a blue moon","շատ հազվադեպ","раз в сто лет","idiom","B1","We go there once in a blue moon."
"hit the books","սովորել, նստել գրքերի վրա","сесть за учебники","idiom","A2","I need to hit the books tonight."
"under the weather","վատ ինքնազգացողություն","неважно себя чувствовать","idiom","B1","She is under the weather today."
"cost an arm and a leg","շատ թանկ արժենալ","стоить целое состояние","idiom","B1","That phone cost an arm and a leg."
"a blessing in disguise","թաքնված բարիք","счастье в несчастье","idiom","B2","Losing that job was a blessing in disguise."
"spill the beans","գաղտնիքը բացել","выдать секрет","idiom","B1","Come on, spill the beans."
"let the cat out of the bag","գաղտնիքը պատահաբար բացել","проболтаться","idiom","B2","He let the cat out of the bag."
"hit the nail on the head","ճիշտ կետին դիպչել","попасть в точку","idiom","B2","You hit the nail on the head."
"the ball is in your court","հերթը քեզն է","мяч на твоей стороне","idiom","B1","I made an offer. The ball is in your court."
"on the same page","նույն կարծիքին լինել","быть на одной волне","idiom","B1","Let us get on the same page first."
"call it a day","ավարտել աշխատանքը","на этом закончим","idiom","A2","It is late. Let’s call it a day."
"better late than never","ավելի լավ ուշ, քան երբեք","лучше поздно, чем никогда","idiom","A2","Better late than never, right?"
"actions speak louder than words","գործն ավելի բարձր է խոսում, քան խոսքը","дела говорят громче слов","idiom","B1","Actions speak louder than words."
"when pigs fly","երբեք, անհնարին","когда рак на горе свистнет","idiom","B1","He will clean his room when pigs fly."
"bite the bullet","դժվարը համբերությամբ կրել","стиснуть зубы","idiom","B2","I had to bite the bullet and pay the fine."
"burn the midnight oil","գիշերը աշխատել/սովորել","сидеть допоздна","idiom","B2","She burned the midnight oil before the exam."
"cut corners","խնայել որակի հաշվին","срезать углы","idiom","B2","Do not cut corners on safety."
"get out of hand","դուրս գալ վերահսկողությունից","выйти из-под контроля","idiom","B1","The party got out of hand."
"in hot water","դժվարության մեջ","в горячей воде, в беде","idiom","B1","He is in hot water with his boss."
"keep an eye on","հսկել, հետևել","присматривать","idiom","A2","Keep an eye on my bag, please."
"learn the ropes","սովորել աշխատանքի հիմունքները","войти в курс дела","idiom","B2","It takes a month to learn the ropes."
"make ends meet","ծայրը ծայրին հասցնել","сводить концы с концами","idiom","B2","They work two jobs to make ends meet."
"on cloud nine","շատ երջանիկ","на седьмом небе","idiom","B1","She was on cloud nine after the news."
"pull someone’s leg","կատակել, խաբել կատակով","подшучивать","idiom","B1","Relax, I was only pulling your leg."
"see eye to eye","համաձայնել","сходиться во мнениях","idiom","B1","We do not always see eye to eye."
"take it easy","չանհանգստանալ, հանգիստ վերաբերվել","не переживай","idiom","A2","Take it easy. Everything will be fine."
"the last straw","վերջին կաթիլը","последняя капля","idiom","B2","That comment was the last straw."
"through thick and thin","դժվար ու հեշտ ժամանակներում","и в горе, и в радости","idiom","B2","Friends stay through thick and thin."
"add fuel to the fire","կրակին յուղ լցնել","подливать масла в огонь","idiom","B2","His joke added fuel to the fire."
"a dime a dozen","շատ սովորական, էժան","тринадцать на дюжину","idiom","B2","Cheap souvenirs are a dime a dozen."
"beat around the bush","շրջանցել էությունը","ходить вокруг да около","idiom","B1","Stop beating around the bush."
"by the book","կանոններով","по правилам","idiom","B1","The inspector does everything by the book."
"cross that bridge when we come to it","խնդիրը լուծել, երբ այն գա","решать проблемы по мере поступления","idiom","B2","We will cross that bridge when we come to it."
"every cloud has a silver lining","չկա չարիք առանց բարիքի","нет худа без добра","idiom","B1","Every cloud has a silver lining."
"go the extra mile","ավելին անել, քան պահանջվում է","сделать больше, чем нужно","idiom","B1","Good teachers go the extra mile."
"hit the sack","գնալ քնելու","лечь спать","idiom","A2","I am tired. I will hit the sack."
"in a nutshell","մի խոսքով","в двух словах","idiom","B1","In a nutshell, we won."
"it is raining cats and dogs","հորդառատ անձրև է","льёт как из ведра","idiom","A2","Take an umbrella. It is raining cats and dogs."
"kill two birds with one stone","մի քարով երկու նպատակ","убить двух зайцев","idiom","B1","I killed two birds with one stone."
"leave no stone unturned","ամեն ինչ փորձել","перевернуть всё вверх дном","idiom","C1","The police left no stone unturned."
"miss the boat","բաց թողնել հնարավորությունը","упустить шанс","idiom","B2","If you wait, you may miss the boat."
"no pain no gain","առանց ջանքի արդյունք չկա","без труда не выловишь и рыбку","idiom","A2","No pain, no gain in sport."
"on the fence","չորոշված","колебаться","idiom","B2","I am still on the fence about moving."
"out of the blue","անսպասելիորեն","как снег на голову","idiom","B1","She called me out of the blue."
"play it by ear","իրավիճակին համաձայն գործել","действовать по обстановке","idiom","B2","We have no plan. Let’s play it by ear."
"read between the lines","ենթատեքստը հասկանալ","читать между строк","idiom","B2","Read between the lines of his email."
"rule of thumb","մոտավոր կանոն","эмпирическое правило","idiom","B2","As a rule of thumb, save 10 percent."
"speak of the devil","հենց խոսում էինք նրա մասին","лёгок на помине","idiom","B1","Speak of the devil, here he is."
"the best of both worlds","երկու կողմի լավը","лучшее из двух миров","idiom","B1","Working from home gives the best of both worlds."
"throw in the towel","հանձնվել","бросить полотенце","idiom","B2","He threw in the towel after round five."
"under someone’s thumb","մեկի ազդեցության տակ","под каблуком","idiom","C1","He is under his manager’s thumb."
"up in the air","չորոշված","в подвешенном состоянии","idiom","B1","Our plans are still up in the air."
"wear your heart on your sleeve","զգացմունքները չթաքցնել","душа нараспашку","idiom","C1","She wears her heart on her sleeve."
"you can say that again","լիովին համաձայն եմ","и не говори","idiom","A2","This room is cold. You can say that again."
"a penny for your thoughts","ի՞նչ ես մտածում","о чём задумался?","idiom","B1","A penny for your thoughts?"
"back to square one","նորից սկզբից","вернуться на исходную","idiom","B1","The deal failed, so we are back to square one."
"bite off more than you can chew","ավելի շատ վերցնել, քան կարող ես","взять больше, чем можешь","idiom","B2","He bit off more than he could chew."
"caught red-handed","գրավվել հանցանքի պահին","пойман с поличным","idiom","B2","The thief was caught red-handed."
"cry over spilled milk","անցածի համար տխրել","плакать над пролитым молоком","idiom","B1","Do not cry over spilled milk."
"cut to the chase","անցնել էությանը","перейти к делу","idiom","B2","Cut to the chase: do we have a deal?"
"easier said than done","ասելն ավելի հեշտ է, քան անելը","легче сказать, чем сделать","idiom","A2","Quitting sugar is easier said than done."
"feel under the weather","վատ զգալ","чувствовать себя неважно","idiom","A2","I feel under the weather this morning."
"get a taste of your own medicine","քո նույն մեթոդով պատասխան ստանալ","отведать собственного лекарства","idiom","C1","He got a taste of his own medicine."
"give someone the cold shoulder","անտեսել մեկին","встретить холодно","idiom","B2","She gave him the cold shoulder."
"go down in flames","ձախողվել աղմկով","сгореть с треском","idiom","C1","The project went down in flames."
"hang in there","դիմանալ, չհանձնվել","держись","idiom","A2","Hang in there. Exams end soon."
"have a sweet tooth","քաղցրասեր լինել","быть сладкоежкой","idiom","A2","I have a sweet tooth."
"in the same boat","նույն վիճակում","в одной лодке","idiom","B1","We are all in the same boat."
"keep your chin up","չհուսահատվել","не вешай нос","idiom","B1","Keep your chin up. You did well."
"let sleeping dogs lie","անցածը չխառնել","не буди лихо","idiom","B2","Let sleeping dogs lie."
"make a long story short","կարճ ասած","короче говоря","idiom","A2","To make a long story short, we won."
"on thin ice","վտանգավոր վիճակում","на тонком льду","idiom","B2","You are on thin ice with that joke."
"out of sight out of mind","աչքից հեռու՝ մտքից հեռու","с глаз долой — из сердца вон","idiom","B1","Out of sight, out of mind."
"put all your eggs in one basket","ամեն ինչ մեկ տարբերակի վրա դնել","класть все яйца в одну корзину","idiom","B2","Do not put all your eggs in one basket."
"ring a bell","ծանոթ թվալ","напоминать что-то","idiom","B1","That name rings a bell."
"sit on the fence","չկողմնորոշվել","сидеть между двух стульев","idiom","B2","Stop sitting on the fence and decide."
"take with a grain of salt","կասկածով ընդունել","воспринимать скептически","idiom","C1","Take his advice with a grain of salt."
"the elephant in the room","ակնհայտ, բայց չքննարկվող խնդիր","слона в комнате не замечают","idiom","B2","Money is the elephant in the room."
"time flies","ժամանակը արագ է անցնում","время летит","idiom","A2","Time flies when you are learning."
"turn a blind eye","ձևացնել, թե չես տեսնում","смотреть сквозь пальцы","idiom","B2","The guard turned a blind eye."
"water under the bridge","անցած-գնացած","дело прошлое","idiom","B2","That argument is water under the bridge."
"zip your lip","լռել","заткнись, молчи","idiom","B1","Zip your lip about the surprise."
"give up","հանձնվել, թողնել","сдаваться, бросать","phrasal_verb","A2","Do not give up learning English."
"look after","խնամել, հոգալ","присматривать, заботиться","phrasal_verb","A2","She looks after her little brother."
"look for","փնտրել","искать","phrasal_verb","A1","I am looking for my keys."
"look up","բառարանում նայել","искать в словаре","phrasal_verb","A2","Look up new words in the dictionary."
"look forward to","անհամբեր սպասել","ждать с нетерпением","phrasal_verb","A2","I look forward to the weekend."
"put off","հետաձգել","откладывать","phrasal_verb","B1","Do not put off your homework."
"put on","հագնել, միացնել","надевать, включать","phrasal_verb","A1","Put on your coat. It is cold."
"take off","հանել, թռիչք կատարել","снимать, взлетать","phrasal_verb","A2","The plane takes off at six."
"turn on","միացնել","включать","phrasal_verb","A1","Turn on the light, please."
"turn off","անջատել","выключать","phrasal_verb","A1","Turn off your phone in class."
"get up","վեր կենալ","вставать","phrasal_verb","A1","I get up at seven."
"wake up","արթնանալ","просыпаться","phrasal_verb","A1","I wake up early on weekdays."
"go on","շարունակել","продолжать","phrasal_verb","A2","Please go on with your story."
"come in","մտնել","входить","phrasal_verb","A1","Come in and sit down."
"find out","պարզել","узнать, выяснить","phrasal_verb","A2","I found out the truth yesterday."
"work out","մարզվել, լուծել","тренироваться, решать","phrasal_verb","A2","She works out three times a week."
"fill in","լրացնել","заполнять","phrasal_verb","A2","Fill in this form."
"grow up","մեծանալ","взрослеть","phrasal_verb","A1","I grew up in Yerevan."
"hang out","ժամանակ անցկացնել","тусоваться","phrasal_verb","A2","We hang out at the park."
"pick up","վերցնել, սովորել պատահաբար","поднять, подхватить","phrasal_verb","A2","I picked up some Armenian in Vanadzor."
"set up","ստեղծել, կարգավորել","настроить, основать","phrasal_verb","B1","They set up a small company."
"show up","հայտնվել, գալ","появиться","phrasal_verb","A2","He showed up late."
"take after","նման լինել (ընտանիքում)","быть похожим","phrasal_verb","B1","She takes after her mother."
"run out of","սպառվել","закончиться","phrasal_verb","A2","We ran out of milk."
"get along with","լավ հարաբերություն ունենալ","ладить","phrasal_verb","B1","I get along with my classmates."
"break down","փչանալ, քանդվել","ломаться","phrasal_verb","B1","The bus broke down."
"break up","բաժանվել","расставаться","phrasal_verb","B1","They broke up last year."
"bring up","մեծացնել, թեմա բարձրացնել","воспитывать, поднимать тему","phrasal_verb","B1","She brought up an interesting point."
"call off","չեղարկել","отменять","phrasal_verb","B1","They called off the meeting."
"carry on","շարունակել","продолжать","phrasal_verb","A2","Carry on with the exercise."
"carry out","իրականացնել","выполнять","phrasal_verb","B1","Scientists carried out a study."
"catch up","հասնել, լրացնել բացը","наверстать","phrasal_verb","B1","I need to catch up on sleep."
"check in","գրանցվել","регистрироваться","phrasal_verb","A2","We checked in at the hotel."
"check out","դուրս գրվել, ստուգել","выезжать, проверять","phrasal_verb","A2","Check out this new word."
"come across","պատահաբար հանդիպել","наткнуться","phrasal_verb","B1","I came across an old photo."
"come up with","միտք հղանալ","придумать","phrasal_verb","B1","She came up with a better plan."
"cut down on","նվազեցնել","сокращать","phrasal_verb","B1","I am cutting down on sugar."
"drop off","թողնել, քնել","высадить, задремать","phrasal_verb","B1","Can you drop me off at school?"
"drop out","կիսատ թողնել ուսումը","бросить учёбу","phrasal_verb","B1","He dropped out of university."
"end up","վերջում հայտնվել","в итоге оказаться","phrasal_verb","B1","We ended up at a café."
"figure out","հասկանալ, լուծել","разобраться","phrasal_verb","B1","I cannot figure out this grammar."
"get over","հաղթահարել","пережить, преодолеть","phrasal_verb","B1","It took time to get over the flu."
